"url","date","time","likes","tweets"
"http://www.eldiario.es/agendapublica/blog/discreto-encanto-burguesia_6_142145794.html",2013-06-11,"20:12","175","42"
"http://www.eldiario.es/agendapublica/blog/hablamos-claro_6_142145789.html",2013-06-11,"08:31","4","39"
"http://www.eldiario.es/agendapublica/blog/victimas-terrorismo-Espana_6_141445856.html",2013-06-09,"19:34","92","39"
"http://www.eldiario.es/agendapublica/blog/nacional-populismo-beneficiado-recetario-austeridad_6_140745927.html",2013-06-08,"20:08","0","124"
"http://www.eldiario.es/agendapublica/blog/Bachelet-Dilemas-certezas-retorno_6_135146505.html",2013-06-06,"19:10","0","66"
"http://www.eldiario.es/agendapublica/blog/gasto-sanitario-publico-destruccion-sistema_6_140046007.html",2013-06-05,"20:18","10","84"
"http://www.eldiario.es/agendapublica/blog/izquierda-agenda-politica-Cataluna_6_139346078.html",2013-06-04,"19:56","14","56"
"http://www.eldiario.es/agendapublica/blog/posible-recuperar-sentido-politica_6_139346077.html",2013-06-03,"20:21","70","72"
"http://www.eldiario.es/agendapublica/blog/secuestro-politicas-sociales_6_137946218.html",2013-06-02,"20:14","125","73"
"http://www.eldiario.es/agendapublica/blog/Escocia-racional-Cataluna-emocional_6_137946210.html",2013-06-01,"21:58","50","45"
"http://www.eldiario.es/agendapublica/blog/Derechos-contractuales_6_137946211.html",2013-05-31,"20:39","14","43"
"http://www.eldiario.es/agendapublica/blog/corrupcion-voluntad-acumular-economico-politico_6_137946215.html",2013-05-30,"20:28","10","201"
"http://www.eldiario.es/agendapublica/blog/Participaciones-preferentes-actuacion-oportunista_6_137596255.html",2013-05-29,"20:56","72","90"
"http://www.eldiario.es/agendapublica/blog/bicicleta-Europa_6_135146496.html",2013-05-28,"20:11","22","42"
"http://www.eldiario.es/agendapublica/blog/transparencia-nuevo-contrato-social_6_136896312.html",2013-05-27,"20:30","0","155"
"http://www.eldiario.es/agendapublica/blog/decidimos_6_136196384.html",2013-05-27,"06:00","8","384"
"http://www.eldiario.es/agendapublica/blog/Elegimos-directamente-determinados-cargos-publicos_6_135846416.html",2013-05-25,"20:17","133","86"
"http://www.eldiario.es/agendapublica/blog/socialdemocracia-atrapada-crisis-Euro_6_135146486.html",2013-05-23,"20:10","131","103"
"http://www.eldiario.es/agendapublica/blog/limitaciones-desigualdad_6_133046723.html",2013-05-22,"20:12","44","46"
"http://www.eldiario.es/agendapublica/blog/Paraisos-fiscales_6_133046718.html",2013-05-21,"20:25","117","94"
"http://www.eldiario.es/agendapublica/blog/pactos-sociales-eficientes_6_133046722.html",2013-05-20,"20:09","31","36"
"http://www.eldiario.es/agendapublica/blog/Destino-Itaca-bordo_6_134096594.html",2013-05-19,"19:57","36","160"
"http://www.eldiario.es/agendapublica/blog/Democracia-partidos_6_133046708.html",2013-05-18,"20:02","232","121"
"http://www.eldiario.es/agendapublica/blog/Debemos-equilibrio-renovacion-adquisicion-experiencia_6_133046707.html",2013-05-16,"20:49","36","37"
"http://www.eldiario.es/agendapublica/blog/razones-rechazo-contrato-unico_6_132696761.html",2013-05-15,"19:54","88","79"
"http://www.eldiario.es/agendapublica/blog/quedado_6_131996810.html",2013-05-14,"20:57","219","92"
"http://www.eldiario.es/agendapublica/blog/Combate-corrupcion-problema-recursos_6_131996807.html",2013-05-14,"06:00","64","82"
"http://www.eldiario.es/agendapublica/blog/Evitemos-ladrillazo-sanitario_6_130946924.html",2013-05-12,"19:41","861","281"
"http://www.eldiario.es/agendapublica/blog/Declaracion-soberania-inimpugnable_6_130946906.html",2013-05-11,"20:05","39","85"
"http://www.eldiario.es/agendapublica/blog/Cualquier-salida-situacion-actual-redistribucion_6_130596945.html",2013-05-09,"20:48","123","120"
"http://www.eldiario.es/agendapublica/blog/Cuidado-relato-Europa_6_130246979.html",2013-05-08,"19:27","27","34"
